"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"用户名为空，点注册","155","用户名为空，点注册","cases","2026-08-08","passed","2026-08-08","TestRegister","test_register","",""
"新增环境：环境名称不能为空","667","新增环境：环境名称不能为空","cases","2026-08-08","passed","2026-08-08","TestEnvList","test_env_list","",""
"服务器异常 500 状态码","298","服务器异常 500 状态码","cases","2026-08-08","passed","2026-08-08","TestAddProject","test_add_project","",""
"提交成功，跳转到项目列表","582","提交成功，跳转到项目列表","cases","2026-08-08","passed","2026-08-08","TestAddProject","test_add_project","",""
"新增环境：环境地址必须以http:或 https:开头","934","新增环境：环境地址必须以http:或 https:开头","cases","2026-08-08","passed","2026-08-08","TestEnvList","test_env_list","",""
"添加模块-模块名称重复","212","添加模块-模块名称重复","cases","2026-08-08","passed","2026-08-08","TestAddModule","test_add_module","",""
"新增环境：不能有特殊字符","600","新增环境：不能有特殊字符","cases","2026-08-08","passed","2026-08-08","TestEnvList","test_env_list","",""
"新增项目：项目名称重复，状态码400","717","新增项目：项目名称重复，状态码400","cases","2026-08-08","passed","2026-08-08","TestProjectList","test_project_list","",""
"表格行内 链接","4479","表格行内 链接","cases","2026-08-08","passed","2026-08-08","TestProjectList","test_project_list","",""
"异常场景-项目名称，无效等价：特殊字符/大于30个字符","148","异常场景-项目名称，无效等价：特殊字符/大于30个字符","cases","2026-08-08","passed","2026-08-08","TestAddProject","test_add_project","",""
"异常场景-项目名称，无效等价：特殊字符/大于30个字符","193","异常场景-项目名称，无效等价：特殊字符/大于30个字符","cases","2026-08-08","passed","2026-08-08","TestAddProject","test_add_project","",""
"项目列表页搜索功能， 模拟搜索0个结果","250","项目列表页搜索功能， 模拟搜索0个结果","cases","2026-08-08","passed","2026-08-08","TestProjectList","test_project_list","",""
"项目列表刷新功能，点刷新按钮查询请求","164","项目列表刷新功能，点刷新按钮查询请求","cases","2026-08-08","passed","2026-08-08","TestProjectList","test_project_list","",""
"新增环境：不能有特殊字符","677","新增环境：不能有特殊字符","cases","2026-08-08","passed","2026-08-08","TestEnvList","test_env_list","",""
"用户名有特殊字符","139","用户名有特殊字符","cases","2026-08-08","passed","2026-08-08","TestLogin","test_login","",""
"用户名大于30字符","146","用户名大于30字符","cases","2026-08-08","passed","2026-08-08","TestLogin","test_login","",""
"登录成功，断言url 和title","579","登录成功，断言url 和title","cases","2026-08-08","passed","2026-08-08","TestLogin","test_login","",""
"登录正常流程","1848","登录正常流程","cases","2026-08-08","passed","2026-08-08","TestLogin","test_login","",""
"测试注册正常流程，注册成功","1021","测试注册正常流程，注册成功","cases","2026-08-08","passed","2026-08-08","TestRegister","test_register","",""
"新增环境：环境地址必须以http:或 https:开头","957","新增环境：环境地址必须以http:或 https:开头","cases","2026-08-08","passed","2026-08-08","TestEnvList","test_env_list","",""
"表格行内编辑","4193","表格行内编辑","cases","2026-08-08","passed","2026-08-08","TestProjectList","test_project_list","",""
"新增环境：点取消按钮","842","新增环境：点取消按钮","cases","2026-08-08","passed","2026-08-08","TestEnvList","test_env_list","",""
"密码框6-16位","111","密码框6-16位","cases","2026-08-08","passed","2026-08-08","TestRegister","test_register","",""
"新增项目：项目名称为空","745","新增项目：项目名称为空","cases","2026-08-08","passed","2026-08-08","TestProjectList","test_project_list","",""
"新增环境：大于40个字符","687","新增环境：大于40个字符","cases","2026-08-08","passed","2026-08-08","TestEnvList","test_env_list","",""
"添加模块-项目名称不能为空","134","添加模块-项目名称不能为空","cases","2026-08-08","passed","2026-08-08","TestAddModule","test_add_module","",""
"异常场景-项目名称不能为空","275","异常场景-项目名称不能为空","cases","2026-08-08","passed","2026-08-08","TestAddProject","test_add_project","",""
"异常场景-项目名称，无效等价：特殊字符/大于30个字符","126","异常场景-项目名称，无效等价：特殊字符/大于30个字符","cases","2026-08-08","passed","2026-08-08","TestAddProject","test_add_project","",""
"新增项目：服务器异常状态码500","686","新增项目：服务器异常状态码500","cases","2026-08-08","passed","2026-08-08","TestProjectList","test_project_list","",""
"用户名为空，点注册","143","用户名为空，点注册","cases","2026-08-08","passed","2026-08-08","TestLogin","test_login","",""
"新增环境：环境名称已存在","898","新增环境：环境名称已存在","cases","2026-08-08","passed","2026-08-08","TestEnvList","test_env_list","",""
"用户名有特殊字符","80","用户名有特殊字符","cases","2026-08-08","passed","2026-08-08","TestRegister","test_register","",""
"新增环境：不能有特殊字符","640","新增环境：不能有特殊字符","cases","2026-08-08","passed","2026-08-08","TestEnvList","test_env_list","",""
"添加模块-模块名称添加成功","5365","添加模块-模块名称添加成功","cases","2026-08-08","passed","2026-08-08","TestAddModule","test_add_module","",""
"登录正常流程， 获取异步ajax 请求","493","登录正常流程， 获取异步ajax 请求","cases","2026-08-08","passed","2026-08-08","TestLogin","test_login","",""
"新增环境：环境新增成功","853","新增环境：环境新增成功","cases","2026-08-08","passed","2026-08-08","TestEnvList","test_env_list","",""
